,RUL-predicted,TRUE-RUL
0,205.9475,142
1,224.4575,141
2,206.2675,140
3,206.23,139
4,209.27,138
5,224.625,137
6,207.5425,136
7,202.2275,135
8,203.1825,134
9,207.3225,133
10,212.2,132
11,203.5375,131
12,212.8075,130
13,203.005,129
14,195.8175,128
15,199.6275,127
16,219.43,126
17,185.8325,125
18,185.0675,124
19,181.5475,123
20,187.4975,122
21,193.8975,121
22,206.025,120
23,190.015,119
24,180.5925,118
25,193.585,117
26,174.7775,116
27,205.2875,115
28,181.8025,114
29,178.8075,113
30,165.795,112
31,181.415,146
32,187.0425,145
33,197.51,144
34,202.785,143
35,194.4125,142
36,201.0,141
37,196.3625,140
38,201.395,139
39,191.525,138
40,186.0025,137
41,195.3625,136
42,190.85,135
43,183.475,134
44,184.3875,133
45,188.03,132
46,195.365,131
47,192.3875,130
48,183.07,129
49,180.91,128
50,184.5875,127
51,175.9525,126
52,171.42,125
53,177.7425,124
54,165.855,123
55,173.615,122
56,172.6625,121
57,168.78,120
58,172.675,119
59,171.3325,118
60,165.3475,117
61,161.935,116
62,159.1175,115
63,155.0275,114
64,163.7425,113
65,162.81,112
66,161.8575,111
67,170.9475,110
68,160.7525,109
69,148.08,108
70,155.2975,107
71,155.8325,106
72,164.69,105
73,146.575,104
74,146.0,103
75,157.5525,102
76,143.3925,101
77,160.5925,100
78,157.48,99
79,152.7,98
80,189.215,194
81,188.66,193
82,183.9025,192
83,193.465,191
84,192.3575,190
85,186.39,189
86,190.815,188
87,171.3475,187
88,192.9325,186
89,182.6675,185
90,192.5375,184
91,179.76,183
92,185.0175,182
93,179.6525,181
94,188.9825,180
95,181.5,179
96,181.53,178
97,181.1625,177
98,169.59,176
99,171.6975,175
100,172.885,174
101,168.8975,173
102,171.725,172
103,169.1525,171
104,175.7725,170
105,169.5225,169
106,163.545,168
107,172.03,167
108,154.33,166
109,166.7225,165
110,162.23,164
111,158.24,163
112,162.905,162
113,164.12,161
114,166.085,160
115,166.3175,159
116,166.315,158
117,161.815,157
118,155.4525,156
119,158.3425,155
120,168.02,154
121,151.0475,153
122,147.445,152
123,153.7825,151
124,147.1275,150
125,156.61,149
126,148.97,148
127,143.1025,147
128,153.745,146
129,134.035,145
130,155.1675,144
131,142.46,143
132,143.465,142
133,147.9625,141
134,158.0425,140
135,137.73,139
136,136.81,138
137,129.0675,137
138,139.21,136
139,142.4475,135
140,137.6825,134
141,151.695,133
142,136.3775,132
143,127.6,131
144,149.0475,130
145,125.9675,129
146,134.025,128
147,133.945,127
148,125.9575,126
149,116.0375,125
150,122.43,124
151,124.8675,123
152,119.9725,122
153,123.6575,121
154,123.7525,120
155,125.5975,119
156,108.8025,118
157,127.695,117
158,117.9375,116
159,111.91,115
160,114.755,114
161,114.8075,113
162,104.7875,112
163,110.1275,111
164,105.475,110
165,114.135,109
166,102.4575,108
